Vendor_Nr,Address,Showroom_name
VN_847,"Ap #417-8402 Massa. Street, Davenport, Vermont",Sparkle & Shine Boutique
VN_363,"P.O. Box 907, 6601 Erat Av., Bowling Green, Ohio",Royal Jewels Pavilion
VN_539,"168-8716 A, St., Newark, Nebraska",Radiant Reflections Jewelry
VN_844,"494 Molestie Rd., Rockford, Michigan",Elegant Essentials Jewelers
VN_246,"Ap #288-4171 Phasellus Ave, Essex, Ohio",Sparkle & Shine Boutique
VN_528,"893-6657 Taciti Av., Denver, Washington",Diamond Dreams Jewelry
VN_489,"Ap #974-8715 Eros St., Joliet, Arizona",Royal Jewels Pavilion
VN_617,"Ap #941-567 Eget Av., Gulfport, Delaware",Elegant Essentials Jewelers
VN_915,"175-6378 Rutrum Av., Portland, Wyoming",Diamond Dreams Jewelry
VN_526,"7487 Mauris Avenue, Miami, Mississippi",Sparkle & Shine Boutique
VN_387,"P.O. Box 707, 4821 Orci St., Aurora, Michigan",Luxe Jewels Showcase
VN_702,"6324 Tellus. Rd., Kailua, Nebraska",Sparkle & Shine Boutique
VN_647,"P.O. Box 297, 147 Turpis. Ave, Harrisburg, Virginia",Luxe Jewels Showcase
VN_613,"Ap #567-1685 Nec Ave, Clarksville, Illinois",Luxe Jewels Showcase
VN_759,"Ap #849-9386 Penatibus St., West Valley City, Missouri",Sparkle & Shine Boutique
VN_386,"Ap #150-820 Nec St., Sioux City, Maine",Gem Gallery
VN_621,"Ap #859-4692 Quam. Road, Erie, Alabama",Royal Jewels Pavilion
VN_774,"Ap #211-7193 A, Rd., Mobile, Georgia",Elegant Essentials Jewelers
VN_521,"187-6782 Elit. Avenue, Tucson, Georgia",Gem Gallery
VN_721,"805-6399 Adipiscing. Ave, Pittsburgh, Utah",Diamond Dreams Jewelry
VN_301,"430-7775 Semper Rd., Frankfort, Mississippi",Sparkle & Shine Boutique
VN_437,"913-4052 Nam Rd., College, Alabama",Sparkle & Shine Boutique
VN_266,"P.O. Box 180, 749 Sem Ave, Green Bay, Virginia",Elegant Essentials Jewelers
VN_808,"Ap #710-6122 Duis Av., Baton Rouge, Virginia",Royal Jewels Pavilion
VN_881,"574-7960 A, Road, South Burlington, Idaho",Sparkle & Shine Boutique
VN_574,"Ap #438-2222 Aliquam Avenue, Kansas City, Arizona",Elegant Essentials Jewelers
VN_865,"P.O. Box 532, 7366 Augue Avenue, Jackson, Montana",Radiant Reflections Jewelry
VN_920,"493-6077 Duis Ave, Philadelphia, Louisiana",Diamond Dreams Jewelry
VN_543,"Ap #900-6553 Donec Avenue, Lexington, Colorado",Luxe Jewels Showcase
VN_948,"436-6063 Tellus Road, Columbia, Alabama",Royal Jewels Pavilion
VN_411,"Ap #757-5725 Augue Rd., Bridgeport, Wyoming",Royal Jewels Pavilion
VN_501,"7122 Dui Avenue, Portland, Tennessee",Gem Gallery
VN_856,"Ap #447-4970 Erat St., Fort Collins, Pennsylvania",Sparkle & Shine Boutique
VN_887,"906-747 Velit Rd., Jackson, Mississippi",Luxe Jewels Showcase
VN_819,"734-5145 Bibendum Av., San Diego, Tennessee",Radiant Reflections Jewelry
VN_661,"3870 Ut Road, North Las Vegas, Kansas",Luxe Jewels Showcase
VN_935,"9207 Nisl Ave, Cambridge, Maryland",Gem Gallery
VN_228,"Ap #978-6135 Sit St., Southaven, Alaska",Radiant Reflections Jewelry
VN_629,"269-8183 Facilisis, Avenue, Fairbanks, Arizona",Luxe Jewels Showcase
VN_709,"Ap #831-476 Lacus. Av., San Diego, Arizona",Diamond Dreams Jewelry
VN_599,"3658 Quisque Ave, Tucson, Mississippi",Royal Jewels Pavilion
VN_506,"195-7687 Velit. St., Birmingham, Florida",Sparkle & Shine Boutique
VN_295,"2441 Penatibus Road, Kailua, Minnesota",Elegant Essentials Jewelers
VN_229,"Ap #556-4358 Tincidunt Street, Honolulu, Vermont",Diamond Dreams Jewelry
VN_293,"Ap #207-4097 Sem Rd., Rockford, Missouri",Luxe Jewels Showcase
VN_805,"Ap #626-8906 Lorem Rd., Sioux City, Virginia",Elegant Essentials Jewelers
VN_550,"Ap #386-9940 Nam Street, Missoula, Ohio",Gem Gallery
VN_900,"458 Quis, Ave, Biloxi, Missouri",Radiant Reflections Jewelry
VN_267,"965-7313 Consectetuer St., New Haven, Tennessee",Elegant Essentials Jewelers
VN_231,"206-7871 Sem Road, Meridian, Vermont",Elegant Essentials Jewelers
